time,pressure
0.0927,12.2772
0.0928,12.28
0.0929,12.2828
0.093,12.2856
0.0931,12.2884
0.0932,12.2911
0.0933,12.2939
0.0934,12.2967
0.0935,12.2995
0.0936,12.3023
0.0937,12.3051
0.0938,12.3079
0.0939,12.3107
0.094,12.3135
0.0941,12.3163
0.0942,12.3191
0.0943,12.3219
0.0944,12.3247
0.0945,12.3275
0.0946,12.3303
0.0947,12.3331
0.0948,12.3359
0.0949,12.3387
0.095,12.3415
0.0951,12.3443
0.0952,12.3471
0.0953,12.3499
0.0954,12.3527
0.0955,12.3555
0.0956,12.3583
0.0957,12.3611
0.0958,12.364
0.0959,12.3668
0.096,12.3696
0.0961,12.3724
0.0962,12.3752
0.0963,12.378
0.0964,12.3808
0.0965,12.3836
0.0966,12.3864
0.0967,12.3893
0.0968,12.3921
0.0969,12.3949
0.097,12.3977
0.0971,12.4005
0.0972,12.4033
0.0973,12.4061
0.0974,12.409
0.0975,12.4118
0.0976,12.4146
0.0977,12.4174
0.0978,12.4202
0.0979,12.4231
0.098,12.4259
0.0981,12.4287
0.0982,12.4315
0.0983,12.4343
0.0984,12.4372
0.0985,12.44
0.0986,12.4428
0.0987,12.4456
0.0988,12.4485
0.0989,12.4513
0.099,12.4541
0.0991,12.4569
0.0992,12.4598
0.0993,12.4626
0.0994,12.4654
0.0995,12.4682
0.0996,12.4711
0.0997,12.4739
0.0998,12.4767
0.0999,12.4795
0.1,12.4824
0.1001,12.4852
0.1002,12.488
0.1003,12.4909
0.1004,12.4937
0.1005,12.4965
0.1006,12.4993
0.1007,12.5022
0.1008,12.505
0.1009,12.5078
0.101,12.5107
0.1011,12.5135
0.1012,12.5163
0.1013,12.5192
0.1014,12.522
0.1015,12.5248
0.1016,12.5277
0.1017,12.5305
0.1018,12.5333
0.1019,12.5362
0.102,12.539
0.1021,12.5418
0.1022,12.5447
0.1023,12.5475
0.1024,12.5503
0.1025,12.5532
0.1026,12.556
0.1027,12.5588
0.1028,12.5617
0.1029,12.5645
0.103,12.5673
0.1031,12.5702
0.1032,12.573
0.1033,12.5758
0.1034,12.5787
0.1035,12.5815
0.1036,12.5843
0.1037,12.5872
0.1038,12.59
0.1039,12.5929
0.104,12.5957
0.1041,12.5985
0.1042,12.6014
0.1043,12.6042
0.1044,12.607
0.1045,12.6099
0.1046,12.6127
0.1047,12.6156
0.1048,12.6184
0.1049,12.6212
0.105,12.6241
0.1051,12.6269
0.1052,12.6297
0.1053,12.6326
0.1054,12.6354
0.1055,12.6383
0.1056,12.6411
0.1057,12.6439
0.1058,12.6468
0.1059,12.6496
0.106,12.6524
0.1061,12.6553
0.1062,12.6581
0.1063,12.661
0.1064,12.6638
0.1065,12.6666
0.1066,12.6695
0.1067,12.6723
0.1068,12.6751
0.1069,12.678
0.107,12.6808
0.1071,12.6836
0.1072,12.6865
0.1073,12.6893
0.1074,12.6922
0.1075,12.695
0.1076,12.6978
0.1077,12.7007
0.1078,12.7035
0.1079,12.7063
0.108,12.7092
0.1081,12.712
0.1082,12.7148
0.1083,12.7177
0.1084,12.7205
0.1085,12.7234
0.1086,12.7262
0.1087,12.729
0.1088,12.7319
0.1089,12.7347
0.109,12.7375
0.1091,12.7404
0.1092,12.7432
0.1093,12.746
0.1094,12.7489
0.1095,12.7517
0.1096,12.7545
0.1097,12.7574
0.1098,12.7602
0.1099,12.763
0.11,12.7658
0.1101,12.7687
0.1102,12.7715
0.1103,12.7743
0.1104,12.7772
0.1105,12.78
0.1106,12.7828
0.1107,12.7857
0.1108,12.7885
0.1109,12.7913
0.111,12.7941
0.1111,12.797
0.1112,12.7998
0.1113,12.8026
0.1114,12.8055
0.1115,12.8083
0.1116,12.8111
0.1117,12.8139
0.1118,12.8168
0.1119,12.8196
0.112,12.8224
0.1121,12.8252
0.1122,12.8281
0.1123,12.8309
0.1124,12.8337
0.1125,12.8365
0.1126,12.8394
0.1127,12.8422
0.1128,12.845
0.1129,12.8478
0.113,12.8506
0.1131,12.8535
0.1132,12.8563
0.1133,12.8591
0.1134,12.8619
0.1135,12.8647
0.1136,12.8676
0.1137,12.8704
0.1138,12.8732
0.1139,12.876
0.114,12.8788
0.1141,12.8816
0.1142,12.8845
0.1143,12.8873
0.1144,12.8901
0.1145,12.8929
0.1146,12.8957
0.1147,12.8985
0.1148,12.9013
0.1149,12.9041
0.115,12.907
0.1151,12.9098
0.1152,12.9126
0.1153,12.9154
0.1154,12.9182
0.1155,12.921
0.1156,12.9238
0.1157,12.9266
0.1158,12.9294
0.1159,12.9322
0.116,12.935
0.1161,12.9378
0.1162,12.9406
0.1163,12.9434
0.1164,12.9462
0.1165,12.949
0.1166,12.9518
0.1167,12.9546
0.1168,12.9574
0.1169,12.9602
0.117,12.963
0.1171,12.9658
0.1172,12.9686
0.1173,12.9714
0.1174,12.9742
0.1175,12.977
0.1176,12.9798
0.1177,12.9826
0.1178,12.9854
0.1179,12.9882
0.118,12.991
0.1181,12.9938
0.1182,12.9966
0.1183,12.9993
0.1184,13.0021
0.1185,13.0049
0.1186,13.0077
0.1187,13.0105
0.1188,13.0133
0.1189,13.0161
0.119,13.0188
0.1191,13.0216
0.1192,13.0244
0.1193,13.0272
0.1194,13.03
0.1195,13.0327
0.1196,13.0355
0.1197,13.0383
0.1198,13.0411
0.1199,13.0439
0.12,13.0466
0.1201,13.0494
0.1202,13.0522
0.1203,13.0549
0.1204,13.0577
0.1205,13.0605
0.1206,13.0633
0.1207,13.066
0.1208,13.0688
0.1209,13.0716
0.121,13.0743
0.1211,13.0771
0.1212,13.0799
0.1213,13.0826
0.1214,13.0854
0.1215,13.0881
0.1216,13.0909
0.1217,13.0937
0.1218,13.0964
0.1219,13.0992
0.122,13.1019
0.1221,13.1047
0.1222,13.1074
0.1223,13.1102
0.1224,13.1129
0.1225,13.1157
0.1226,13.1184
0.1227,13.1212
0.1228,13.1239
0.1229,13.1267
0.123,13.1294
0.1231,13.1322
0.1232,13.1349
0.1233,13.1377
0.1234,13.1404
0.1235,13.1432
0.1236,13.1459
0.1237,13.1486
0.1238,13.1514
0.1239,13.1541
0.124,13.1568
0.1241,13.1596
0.1242,13.1623
0.1243,13.165
0.1244,13.1678
0.1245,13.1705
0.1246,13.1732
0.1247,13.176
0.1248,13.1787
0.1249,13.1814
0.125,13.1841
0.1251,13.1869
0.1252,13.1896
0.1253,13.1923
0.1254,13.195
0.1255,13.1977
0.1256,13.2005
0.1257,13.2032
0.1258,13.2059
0.1259,13.2086
0.126,13.2113
0.1261,13.214
0.1262,13.2167
0.1263,13.2194
0.1264,13.2221
0.1265,13.2249
0.1266,13.2276
0.1267,13.2303
0.1268,13.233
0.1269,13.2357
0.127,13.2384
0.1271,13.2411
0.1272,13.2438
0.1273,13.2465
0.1274,13.2492
0.1275,13.2518
0.1276,13.2545
0.1277,13.2572
0.1278,13.2599
0.1279,13.2626
0.128,13.2653
0.1281,13.268
0.1282,13.2707
0.1283,13.2733
0.1284,13.276
0.1285,13.2787
0.1286,13.2814
0.1287,13.2841
0.1288,13.2867
0.1289,13.2894
0.129,13.2921
0.1291,13.2948
0.1292,13.2974
0.1293,13.3001
0.1294,13.3028
0.1295,13.3054
0.1296,13.3081
0.1297,13.3108
0.1298,13.3134
0.1299,13.3161
0.13,13.3188
0.1301,13.3214
0.1302,13.3241
0.1303,13.3267
0.1304,13.3294
0.1305,13.332
0.1306,13.3347
0.1307,13.3373
0.1308,13.34
0.1309,13.3426
0.131,13.3453
0.1311,13.3479
